FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_48752|TPO_consensed_contig_106427,219,29,148,3,46,52,55,4,18,28
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,101,0,0,0,74,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,1169,244,10,0,468,66,29,0,107,65
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0,1,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,175,41,0,0,23,40,0,1,17,35
TDU_consensed_contig_36157|TPO_consensed_contig_32174,271,13,20,39,84,137,7,15,22,44
TDU_consensed_contig_35369|TPO_consensed_contig_85862,316,63,8,0,34,46,19,61,15,13
TDU_consensed_contig_33692|TPO_consensed_contig_46821,425,46,1,1,102,133,2,106,69,69
TDU_consensed_contig_69335|TPO_consensed_contig_9777,230,74,36,3811,112,87,293,2762,703,151
TDU_consensed_contig_27762|TPO_consensed_contig_116132,858,90,3031,6,193,233,1179,5,91,97
TDU_consensed_contig_45813|TPO_consensed_contig_12048,0,0,549,0,1,0,254,0,0,0
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,4,35,0,0,40,27,1,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,1,1,0,20,1,0,0,46,0,2
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,13,0,0,0,1,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,13,3,0,0,26,19,6,0,3,3
TDU_consensed_contig_59592|TPO_consensed_contig_32672,255,17,12,4,443,81,17,4,95,20
TDU_consensed_contig_80707|TPO_consensed_contig_12642,2651,264,24,4,992,375,37,20,384,170
TDU_consensed_contig_68449|TPO_consensed_contig_91407,330,32,861,11,86,152,690,12,20,45
TDU_consensed_contig_68151|TPO_consensed_contig_33765,2438,289,17,1830,482,319,25,747,266,179
TDU_consensed_contig_60664|TPO_consensed_contig_28309,13,0,0,4,7,2,0,2,2,2
TDU_consensed_contig_56748|TPO_consensed_contig_9392,88,2,3986,0,67,47,2724,4,35,37
TDU_consensed_contig_11053|TPO_consensed_contig_39553,6738,1303,36,54,2108,3005,54,100,997,1254
TDU_consensed_contig_4745|TPO_consensed_contig_27969,84,7,0,26,26,53,3,18,14,15
TDU_consensed_contig_37494|TPO_consensed_contig_37012,3335,889,23,22,954,841,42,51,456,346
TDU_consensed_contig_39883|TPO_consensed_contig_26319,43,9,1519,0,12,6,488,0,17,10
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0,0,0,117,0,0,0,65,0,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0,0,56,12,0,0,23,2,0,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,2569,313,44,27,2130,1894,69,143,708,756
TDU_consensed_contig_46251|TPO_consensed_contig_32522,106,18,0,2,48,40,0,2,18,20
TDU_consensed_contig_34448|TPO_consensed_contig_43120,53,6,2,0,16,26,0,3,8,6
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,1199,155,19,946,427,522,68,903,182,245
TDU_consensed_contig_16521|TPO_consensed_contig_16031,23,6,2,24,2,11,2,14,1,3
TDU_consensed_contig_8604|TPO_consensed_contig_16601,469,93,0,0,12,21,2,1,12,32
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,1161,152,7,694,356,250,9,257,166,98
TDU_consensed_contig_35746|TPO_consensed_contig_13623,30,3,2,2,44,9,3,1,2,3
TDU_consensed_contig_16676|TPO_consensed_contig_13149,85,13,1,1,32,45,6,2,19,15
TDU_consensed_contig_104154|TPO_consensed_contig_24645,0,0,0,7705,0,0,3,5388,0,2
TDU_consensed_contig_86271|TPO_consensed_contig_59209,1,1,45,23,40,15,21,17,26,6
TDU_consensed_contig_28098|TPO_consensed_contig_32709,270,38,6,8,186,150,7,45,72,58
TDU_consensed_contig_40286|TPO_consensed_contig_17932,239,51,1,0,4,2,0,14,4,4
TDU_consensed_contig_67353|TPO_consensed_contig_71040,0,0,161,78,0,0,127,27,0,0
TDU_consensed_contig_6837|TPO_consensed_contig_38786,9,0,0,11605,103,4,2,15434,65,1
TDU_consensed_contig_33969|TPO_consensed_contig_43357,136,34,7,0,23,3,27,0,4,7
TDU_consensed_contig_38793|TPO_consensed_contig_13302,0,0,0,19,0,0,0,7,0,0
TDU_consensed_contig_72992|TPO_consensed_contig_83367,0,0,0,102,0,0,0,46,0,0
TDU_consensed_contig_28679|TPO_consensed_contig_46903,53,5,2,3,12,13,0,0,9,8
TDU_consensed_contig_32845|TPO_consensed_contig_16196,73,5,371,1,5,17,254,2,3,7
TDU_consensed_contig_75315|TPO_consensed_contig_27827,347,84,4,0,165,36,6,1,54,15
TDU_consensed_contig_102617|TPO_consensed_contig_18635,0,0,0,1073,0,0,0,1044,0,0
TDU_consensed_contig_60325|TPO_consensed_contig_13545,28,2,0,1,7,23,0,16,6,9
TDU_consensed_contig_9119|TPO_consensed_contig_37763,60,8,5,1,22,27,0,1,8,10
TDU_consensed_contig_36823|TPO_consensed_contig_38920,49,6,4,20,47,25,2,18,13,6
TDU_consensed_contig_12946|TPO_consensed_contig_38940,126,11,2,0,93,72,20,1,37,25
TDU_consensed_contig_12496|TPO_consensed_contig_37721,1409,176,3474,0,490,313,1606,14,261,169
TDU_consensed_contig_75477|TPO_consensed_contig_11577,5,0,0,544,4,0,0,359,5,2
