FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_33037|TPR_consensed_contig_81949,50,7,548,0,10,13,291,2,27,3
TDU_consensed_contig_56983|TPR_consensed_contig_60177,44,0,0,2808,0,0,0,1615,5,3
TDU_consensed_contig_75722|TPR_consensed_contig_60147,0,0,0,3510,1,6,1,1269,0,2
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0,0,104,0,1,0,15,0,0,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,203,15,2,4,102,94,2,4,27,41
TDU_consensed_contig_46040|TPR_consensed_contig_110150,559,130,0,1,19,33,1,3,18,5
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0,0,0,31,0,0,0,23,0,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0,0,92,23,0,0,13,24,0,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,4,0,122,0,0,1,131,2,1,0
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0,0,0,325,0,0,0,118,0,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,0,0,1836,0,0,0,677,0,0,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,84,2,631,0,36,21,694,0,7,10
TDU_consensed_contig_39174|TPR_consensed_contig_10735,454,60,1,2,108,122,8,4,35,51
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,1088,135,13,2,235,292,12,13,106,125
TDU_consensed_contig_39700|TPR_consensed_contig_81005,211,3,7,1,389,218,16,8,129,37
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0,0,0,0,0,0,0,1,0,0
