A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
1.7	2.141	10.05	0	2.6e-05	100.94	0	1
6.48	0.286	2.92	0.0157	0.031297	8.55	0.0157	1
5.21	0.189	0.68	0.50966	0.590003	0.47	0.50966	0
4.45	0.435	4.19	0.00201	0.005592	17.52	0.00201	1
4.35	0.093	0.81	0.43638	0.521514	0.66	0.43638	0
4.55	0.71	6.03	0.00014	0.00066	36.38	0.00014	1
4.24	-0.474	-2.03	0.07051	0.112249	4.13	0.07051	0
6.31	0.385	4.38	0.00149	0.004337	19.19	0.00149	1
0.93	1.832	3.39	0.00725	0.016347	11.47	0.00725	1
1.3	-0.568	-2.45	0.03506	0.061965	6	0.03506	0
4.48	-0.672	-5.13	0.00049	0.001746	26.31	0.00049	-1
8.16	-0.426	-4.71	9e-04	0.002865	22.21	9e-04	-1
4.69	0.421	3.13	0.01111	0.023414	9.79	0.01111	1
7.23	-0.591	-3.95	0.00292	0.00767	15.57	0.00292	-1
3.57	-0.72	-3.7	0.00434	0.010594	13.69	0.00434	-1
9.21	0.092	1.07	0.31127	0.393953	1.14	0.31127	0
2.88	0.172	1.11	0.29256	0.37337	1.24	0.29256	0
8.09	-0.83	-9.6	0	3.5e-05	92.09	0	-1
2.23	-0.832	-4.87	0.00072	0.002368	23.72	0.00072	-1
8.25	-0.164	-2.35	0.04161	0.071437	5.51	0.04161	0
3.7	-0.109	-0.84	0.4188	0.503489	0.71	0.4188	0
1.5	1.036	4.82	0.00077	0.002505	23.25	0.00077	1
6	0.97	6.42	9e-05	0.000448	41.16	9e-05	1
4.54	-0.423	-4.71	0.00091	0.00289	22.14	0.00091	-1
6.44	-0.894	-11.85	0	9e-06	140.48	0	-1
2.82	-2.195	-8.08	1e-05	0.000102	65.33	1e-05	-1
3.57	-0.182	-0.8	0.44148	0.526257	0.64	0.44148	0
4.9	-0.145	-1.15	0.27762	0.357432	1.32	0.27762	0
3.8	-0.523	-3.58	0.00526	0.012464	12.83	0.00526	-1
2.26	-3.441	-16.98	0	1e-06	288.41	0	-1
2.42	0.002	0.01	0.99071	0.993219	0	0.99071	0
2.97	1.184	6.26	0.00011	0.00052	39.24	0.00011	1
1.92	1.425	6.47	8e-05	0.000423	41.91	8e-05	1
