logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_48752|TPO_consensed_contig_106427	2.76733324977033	1.69629990180514	24.7092397811516	4.52161616059471e-10	6.86732514177379e-10	13.8224925032072
TDU_consensed_contig_3076|TPO_consensed_contig_4409	6.62054833985525	6.47979439251491	97.1606077552486	8.44653110861427e-16	3.57202436693625e-15	26.940781642437
TDU_consensed_contig_12660|TPO_consensed_contig_35704	5.28801834916663	5.20671977100132	27.3903476432801	1.68950423958183e-10	2.66059539321758e-10	14.5398434343296
TDU_consensed_contig_36157|TPO_consensed_contig_32174	4.66866770840923	4.45356574486229	66.3975461716408	3.35078111218169e-14	8.86209807648349e-14	23.304581040689
TDU_consensed_contig_35369|TPO_consensed_contig_85862	4.39422411439282	4.34960349165525	54.3480896947633	2.31764286347569e-13	5.18555592064751e-13	21.4357655700177
TDU_consensed_contig_33692|TPO_consensed_contig_46821	4.91209404017175	4.55476301529669	63.776574360519	4.94458140504467e-14	1.26148854627627e-13	22.9624082889158
TDU_consensed_contig_69335|TPO_consensed_contig_9777	3.99848033544334	4.24441162893432	23.0126561920427	8.90832999539526e-10	1.32194912245775e-09	12.9496638543743
TDU_consensed_contig_27762|TPO_consensed_contig_116132	6.50649142322278	6.31277268767216	107.196908999876	3.26369009062932e-16	1.7174183882528e-15	27.7841596830927
TDU_consensed_contig_59196|TPO_consensed_contig_84448	1.85903606377721	0.931134111305352	6.16679757265235	0.000121589556898041	0.000138994828586765	0.603701393526084
TDU_consensed_contig_56821|TPO_consensed_contig_19898	1.01978280067231	1.30170234555054	5.84379411947599	0.000184992601644042	0.000210415042905448	0.335064817143286
TDU_consensed_contig_59592|TPO_consensed_contig_32672	4.15179031964518	4.48369801923905	41.8506562902621	2.8801234607728e-12	5.47269588728798e-12	18.9318944774929
TDU_consensed_contig_80707|TPO_consensed_contig_12642	7.94830475922173	8.16156273552501	124.628676626575	7.59656157097584e-17	5.96631041883535e-16	29.1224121157147
