logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_48752|TPO_consensed_contig_106427	3.62587309431635	2.34671575130268	12.9511522467268	7.57849136721149e-08	9.99311355395473e-08	8.2026778322878
TDU_consensed_contig_3076|TPO_consensed_contig_4409	6.51231955504857	6.49108601429259	81.0258155278976	3.47692974337046e-16	2.08496779591046e-15	27.5659509499659
TDU_consensed_contig_12660|TPO_consensed_contig_35704	4.89533955848553	5.09653216538545	12.0823775969099	1.51832710491497e-07	1.96729379105956e-07	7.28610644828823
TDU_consensed_contig_36157|TPO_consensed_contig_32174	4.71084445902738	4.53948317200122	61.3227093385976	6.68354981488664e-15	2.25545668231423e-14	24.7014474469126
TDU_consensed_contig_35369|TPO_consensed_contig_85862	4.20884105971984	4.30370541526121	41.4978707065695	4.17729487804973e-13	9.34291994852314e-13	20.7661907086797
TDU_consensed_contig_33692|TPO_consensed_contig_46821	4.75390915283287	4.62372031698485	29.3589978520358	1.60543999856644e-11	2.86915764449684e-11	17.057148201237
TDU_consensed_contig_69335|TPO_consensed_contig_9777	5.76623859016434	4.75062942399546	42.8846964281484	2.95087972176018e-13	6.75662113594925e-13	21.1212935231711
TDU_consensed_contig_27762|TPO_consensed_contig_116132	5.96621281541171	6.19768964905371	77.2063992245339	5.80471303471335e-16	3.03216276989887e-15	27.0588359254952
TDU_consensed_contig_56821|TPO_consensed_contig_19898	1.23504523371349	1.28077686748605	7.16039057632805	2.21520815436555e-05	2.59428120751902e-05	2.49989400760974
TDU_consensed_contig_59592|TPO_consensed_contig_32672	5.09373805046181	4.68795247356326	49.5686948055201	6.37209237268162e-14	1.66708399755175e-13	22.6328865050795
TDU_consensed_contig_80707|TPO_consensed_contig_12642	7.65827464148712	7.99381087348734	105.647917458712	2.07740675478062e-17	3.4068174424733e-16	29.9492823469895
TDU_consensed_contig_68449|TPO_consensed_contig_91407	4.51808722968754	4.63156562178488	36.0937575555524	1.82336152792912e-12	3.68954309559017e-12	19.3018706832374
TDU_consensed_contig_68151|TPO_consensed_contig_33765	7.51638469366813	7.32276879038759	50.9092884567959	4.80341010485791e-14	1.28711310278528e-13	22.9396445041896
TDU_consensed_contig_56748|TPO_consensed_contig_9392	3.53734564110882	3.56297221400023	26.1755150572036	5.35591362008044e-11	9.05166623380797e-11	15.8870467131188
TDU_consensed_contig_11053|TPO_consensed_contig_39553	9.12776669643971	9.18496401314004	99.1498577808186	4.07691911957366e-17	4.94694920731955e-16	29.3501554114272
TDU_consensed_contig_4745|TPO_consensed_contig_27969	2.94478395002818	2.89686387826538	23.1456335671519	1.93983434819543e-10	3.10373495711269e-10	14.5961139739794
TDU_consensed_contig_37494|TPO_consensed_contig_37012	8.0336848362771	8.07079435778215	98.3483810061381	4.44393316110388e-17	5.21951121670659e-16	29.3406690969834
TDU_consensed_contig_39883|TPO_consensed_contig_26319	2.07168086914605	2.18015586841014	16.1929000134875	7.84111555516812e-09	1.10342445402848e-08	10.8173569158828
TDU_consensed_contig_8405|TPO_consensed_contig_33570	8.29762410393306	8.26758307329962	95.6693706935826	5.9586290790293e-17	6.10498137219844e-16	29.0942596477891
TDU_consensed_contig_46251|TPO_consensed_contig_32522	3.44807638259457	3.61966569481447	35.0096009159388	2.51534582342055e-12	4.98328595849922e-12	18.9816092778349
TDU_consensed_contig_34448|TPO_consensed_contig_43120	2.04223398175158	1.68272280403003	11.3039985361514	2.93997065758402e-07	3.75060334375282e-07	6.98249349026757
TDU_consensed_contig_57333|TPO_consensed_contig_17762	6.5217168988458	6.17371578591029	39.7093551806064	6.65421368867306e-13	1.44463226549631e-12	20.2759737251824
TDU_consensed_contig_16521|TPO_consensed_contig_16031	0.817373301270343	0.615254680487639	3.06699877257209	0.0111223126794675	0.0120026435567768	-3.94523999142293
TDU_consensed_contig_8604|TPO_consensed_contig_16601	4.72064178973918	4.59944466741368	62.7363487647818	5.2486742004287e-15	1.82635098294957e-14	24.9192271928325
TDU_consensed_contig_56911|TPO_consensed_contig_37656	6.64765835269691	6.50744232536231	105.158938544753	2.18233519210521e-17	3.48984763244463e-16	29.8568609587855
TDU_consensed_contig_35746|TPO_consensed_contig_13623	2.66101248607385	2.76816694207035	11.6596357653704	2.16353827986203e-07	2.78203234225195e-07	7.21880476454803
TDU_consensed_contig_16676|TPO_consensed_contig_13149	3.71910514758764	3.6151548784669	14.2003528222835	2.99139096226019e-08	4.04443752993944e-08	9.19175516666984
TDU_consensed_contig_28098|TPO_consensed_contig_32709	5.05109687761371	4.95385780153732	55.6513964285415	1.86969267124445e-14	5.56146275045888e-14	23.8000361907493
