,logFC,AveExpr,t,P.Value,adj.P.Val,B
TDU_consensed_contig_56983|TPR_consensed_contig_60177,0.0848046272849,0.863269543785,0.361924695853,0.723637591554,0.818042629401,-6.55199591948
TDU_consensed_contig_9144|TPR_consensed_contig_102246,-0.0256662044681,4.44814300155,-0.251753837343,0.80544797718,0.877483425429,-7.27700480942
TDU_consensed_contig_12631|TPR_consensed_contig_74997,-0.0882421194638,6.41965253643,-1.03334862533,0.321612963425,0.471522430266,-7.01946461035
TDU_consensed_contig_38575|TPR_consensed_contig_100441,-0.120280451371,3.56606612492,-0.910498825592,0.380304731875,0.529857492014,-6.71709081071
TDU_consensed_contig_11937|TPR_consensed_contig_108118,0.0406663526415,2.47067259408,0.317021874054,0.756619428623,0.842127463389,-6.87114020107
TDU_consensed_contig_36480|TPR_consensed_contig_65471,-0.262554760425,2.2022265484,-1.49515378864,0.160440626817,0.285162207096,-5.79192805689
TDU_consensed_contig_83481|TPR_consensed_contig_101707,-0.131979263178,1.9911299569,-0.705186323517,0.494019617054,0.631575791136,-6.58029115382
TDU_consensed_contig_61194|TPR_consensed_contig_49475,-0.140333455416,5.09836914514,-1.28731785207,0.222015212306,0.359353702228,-6.58732981295
TDU_consensed_contig_25948|TPR_consensed_contig_49220,0.0428987469698,2.80813946641,0.22361458644,0.826780639154,0.891760410679,-6.96325349337
TDU_consensed_contig_19476|TPR_consensed_contig_76021,0.0118702268981,5.13187815745,0.11944969645,0.906875504112,0.943608053756,-7.41539227897
TDU_consensed_contig_33980|TPR_consensed_contig_92772,0.126825830003,4.25837989749,0.966565138227,0.352646395796,0.50177970377,-6.7823207073
TDU_consensed_contig_16120|TPR_consensed_contig_98525,0.0811438334855,4.52489444875,0.872359360101,0.399958556931,0.548355556976,-6.92080628569
TDU_consensed_contig_43649|TPR_consensed_contig_60306,-0.0644285221968,4.35724058476,-0.598019809606,0.56083153684,0.689287500523,-7.10669523837
TDU_consensed_contig_27976|TPR_consensed_contig_98013,0.00966458778918,6.73757292365,0.132059817389,0.897103207,0.937574028368,-7.58489936813
TDU_consensed_contig_12745|TPR_consensed_contig_77970,-0.380501631345,4.04342147712,-1.86391326546,0.0867208467426,0.182477498557,-5.61105450843
TDU_consensed_contig_40482|TPR_consensed_contig_106942,-0.16846770556,2.48306708393,-1.22491450005,0.243872564259,0.385628005226,-6.18188177676
TDU_consensed_contig_41963|TPR_consensed_contig_109425,-0.24496111531,3.02967788177,-1.71619022851,0.111543493242,0.219134913055,-5.63514192499
TDU_consensed_contig_33741|TPR_consensed_contig_92566,-0.0907911035548,6.93385200028,-0.879015065323,0.396479900627,0.545206877851,-7.20567899118
TDU_consensed_contig_37031|TPR_consensed_contig_55762,-0.032999397335,1.04672798874,-0.140355736512,0.890683711343,0.933628194372,-6.64917288387
TDU_consensed_contig_40793|TPR_consensed_contig_75282,-0.0694067541581,5.82392265738,-0.741023378505,0.472787746467,0.611988424977,-7.22461567011
TDU_consensed_contig_13271|TPR_consensed_contig_101541,0.0492474138584,1.29755974684,0.176390379898,0.862899292681,0.915691186241,-6.68378800107
TDU_consensed_contig_4906|TPR_consensed_contig_82072,0.0148525014223,5.15205294195,0.153294518104,0.880687792585,0.927540544995,-7.4131744136
TDU_consensed_contig_48191|TPR_consensed_contig_111673,-0.434485558306,1.16672955839,-1.49546913626,0.160359450272,0.28506785948,-5.61084429833
TDU_consensed_contig_99603|TPR_consensed_contig_120777,0.156363060278,6.42942436903,2.01152099579,0.067038833728,0.150529552078,-5.68218160126
TDU_consensed_contig_82249|TPR_consensed_contig_54226,0.264645935337,2.75657949761,1.49437227854,0.160641953376,0.285470035185,-5.8666748757
TDU_consensed_contig_77275|TPR_consensed_contig_104542,-0.0643379312182,1.72941935087,-0.219258611852,0.830096358033,0.893401330607,-6.76091629802
TDU_consensed_contig_32871|TPR_consensed_contig_100160,0.202051850284,6.22789507874,1.88971765756,0.0829377947503,0.17634810429,-5.85809082784
TDU_consensed_contig_33242|TPR_consensed_contig_80911,-0.111543230359,6.08502901791,-1.28841518379,0.221645446273,0.358939429503,-6.70328766366
TDU_consensed_contig_20892|TPR_consensed_contig_20477,0.157181141556,2.62917994905,1.00229176272,0.335786986101,0.484670063722,-6.43087795253
TDU_consensed_contig_16201|TPR_consensed_contig_77840,-0.00160849428044,7.50526478164,-0.0192973056434,0.984917866225,0.991071161105,-7.63925204563
TDU_consensed_contig_8568|TPR_consensed_contig_102629,0.27432125133,3.82099046368,1.60171523162,0.134936592351,0.252247900255,-5.92063829257
TDU_consensed_contig_42821|TPR_consensed_contig_105102,-0.137913589547,8.32537476996,-1.57135985583,0.141817474941,0.261450203167,-6.44822496641
TDU_consensed_contig_12529|TPR_consensed_contig_80517,-0.310658237706,1.49251667124,-1.63413590756,0.127910332975,0.242599280131,-5.4691163544
TDU_consensed_contig_74671|TPR_consensed_contig_53368,0.354454842033,3.1290341307,2.2734026907,0.041968166157,0.105278363905,-4.72350169425
TDU_consensed_contig_33536|TPR_consensed_contig_60073,-0.1410359344,6.60685397122,-1.50105538635,0.158927230869,0.283216475523,-6.47253512737
TDU_consensed_contig_89442|TPR_consensed_contig_92516,-0.126035634883,5.68306304242,-1.38027340299,0.192420576963,0.325198466763,-6.54584605919
TDU_consensed_contig_56709|TPR_consensed_contig_60660,0.0330509691724,1.11650405239,0.143055963278,0.888595957841,0.932332042624,-6.65772605172
TDU_consensed_contig_35823|TPR_consensed_contig_78032,0.371152713449,4.4639043984,1.30340925369,0.216642605778,0.35319422801,-6.43379404655
TDU_consensed_contig_35657|TPR_consensed_contig_80816,-0.160939634516,8.33946385547,-2.13468141018,0.0538740178218,0.127297147939,-5.57349797955
TDU_consensed_contig_33263|TPR_consensed_contig_82564,0.341032887361,1.90441430997,1.83704914845,0.0908253170693,0.188573467901,-5.20437159987
TDU_consensed_contig_19304|TPR_consensed_contig_104743,-0.372956685743,1.20357630083,-2.15194744397,0.0522350062951,0.124566065541,-4.62057902075
TDU_consensed_contig_8838|TPR_consensed_contig_6910,0.291027380732,1.20016504172,1.34624397339,0.202854128499,0.337433528494,-5.76930621129
TDU_consensed_contig_65263|TPR_consensed_contig_24861,-0.467046057831,1.56251461186,-2.67604352708,0.0200304376689,0.0609259145762,-3.78175116911
TDU_consensed_contig_19785|TPR_consensed_contig_103652,0.0542277461397,2.66911005706,0.365864423077,0.7207700886,0.815618834507,-6.89071419941
TDU_consensed_contig_27900|TPR_consensed_contig_56053,0.166490563723,3.17582526392,0.947563631697,0.361855623703,0.510958671543,-6.5877336736
TDU_consensed_contig_32991|TPR_consensed_contig_97497,0.655913156754,1.02318662788,2.26034997861,0.0429720255088,0.107187104926,-4.35653049611
TDU_consensed_contig_35948|TPR_consensed_contig_50332,-0.151452884396,4.95647932007,-1.54444674834,0.148169999803,0.269634323529,-6.23020337291
TDU_consensed_contig_75082|TPR_consensed_contig_49195,-0.229070959615,5.86865372308,-2.13430747348,0.0539100435907,0.127305780166,-5.43819383224
TDU_consensed_contig_37925|TPR_consensed_contig_112103,-0.381315840027,0.36217460179,-1.65391678588,0.123782535474,0.236851100783,-5.2569691849
TDU_consensed_contig_19166|TPR_consensed_contig_92562,-0.18048192412,5.28843340657,-2.09920855643,0.0573940195733,0.133695389488,-5.42651018063
TDU_consensed_contig_41037|TPR_consensed_contig_98845,0.145848223894,4.52047257892,1.45569970074,0.170876150007,0.298019988676,-6.26226336191
TDU_consensed_contig_70566|TPR_consensed_contig_104441,-0.0573902733703,2.80596081871,-0.459848106091,0.653762126303,0.765223704648,-6.88370606233
TDU_consensed_contig_17306|TPR_consensed_contig_62275,0.148177065395,1.68776167065,0.84977711032,0.411915001577,0.558261188862,-6.39098909512
TDU_consensed_contig_12973|TPR_consensed_contig_99796,0.415836025787,3.15373236027,2.0671365233,0.0607607704889,0.139475656172,-5.06915712758
TDU_consensed_contig_9002|TPR_consensed_contig_97931,0.24806581134,4.75464641267,1.75531860461,0.104414512881,0.208479744628,-5.87019636423
TDU_consensed_contig_18302|TPR_consensed_contig_111787,0.0510599135576,0.707505856097,0.224551832386,0.826067670828,0.891562046071,-6.57112573314
TDU_consensed_contig_71807|TPR_consensed_contig_74677,0.328569834619,2.14321603167,1.56021362445,0.144419292565,0.264705209767,-5.65422469778
TDU_consensed_contig_16943|TPR_consensed_contig_99383,-0.202057337563,7.41400188138,-0.907483441582,0.381833882848,0.531112873099,-7.20739067001
TDU_consensed_contig_46689|TPR_consensed_contig_111270,0.162263994909,1.77743313587,0.811093700618,0.432945837772,0.577204232804,-6.43902003998
TDU_consensed_contig_17120|TPR_consensed_contig_103174,0.21221338394,3.14973564619,1.15927002169,0.268667968336,0.413809027733,-6.36118055287
TDU_consensed_contig_38207|TPR_consensed_contig_39595,-0.252396397219,3.99061233722,-2.29534534939,0.0403307473117,0.102329175198,-4.88501409762
TDU_consensed_contig_71382|TPR_consensed_contig_30708,-0.0926490392054,6.16643062405,-1.20603426997,0.250811940207,0.392866433665,-6.80858702412
TDU_consensed_contig_27753|TPR_consensed_contig_100560,0.0366741958656,7.20130584712,0.373455390611,0.715257558349,0.811643753586,-7.54922616675
TDU_consensed_contig_9192|TPR_consensed_contig_75262,0.171100297796,6.08459027285,1.47230791837,0.16641531216,0.292806688484,-6.45759119173
TDU_consensed_contig_66020|TPR_consensed_contig_84317,-0.0923343461699,7.7309056031,-1.12387557175,0.282825503309,0.430117371092,-6.99966418994
TDU_consensed_contig_38715|TPR_consensed_contig_98022,-0.0530116831528,6.46577941085,-0.576277895866,0.574969409616,0.700722387626,-7.3978872105
TDU_consensed_contig_67569|TPR_consensed_contig_35620,-0.44642484313,3.31519747585,-1.70244998263,0.114147757404,0.223084995066,-5.72017614547
TDU_consensed_contig_34008|TPR_consensed_contig_74568,-0.160608218272,2.01997688847,-0.822712865761,0.426556239445,0.571237450396,-6.49632781473
