,logFC,AveExpr,t,P.Value,adj.P.Val,B
TDU_consensed_contig_33037|TPR_consensed_contig_81949,-0.82973105772,1.5570466954,-4.03230166627,0.00162904412819,0.00936538853751,-1.32136022886
TDU_consensed_contig_10134|TPR_consensed_contig_101033,-1.35708882886,6.96147473679,-11.6167137279,6.25774317291e-08,4.01881771997e-06,8.58530336217
TDU_consensed_contig_17573|TPR_consensed_contig_98911,0.237068954313,12.9952117942,3.07739786915,0.00948077632803,0.0351100136498,-3.83360742466
TDU_consensed_contig_69777|TPR_consensed_contig_82258,-0.374525476587,6.91853695377,-4.82105393497,0.000406288034042,0.00321075130952,-0.618127596243
TDU_consensed_contig_4784|TPR_consensed_contig_100829,-0.417167146978,6.32062727953,-4.57966572136,0.000616359316851,0.00442931868844,-1.00942200137
TDU_consensed_contig_21959|TPR_consensed_contig_54355,-0.842154428988,3.65577770575,-7.38301053276,7.97820860737e-06,0.000159360005392,3.83567542197
TDU_consensed_contig_32521|TPR_consensed_contig_77966,-0.655443410629,3.0404210939,-5.03543866792,0.00028243903779,0.00243699737794,0.236125717255
TDU_consensed_contig_26134|TPR_consensed_contig_11877,-0.447983626122,3.72059841871,-2.96635477394,0.0116646021085,0.0409410991334,-3.63625020645
TDU_consensed_contig_33852|TPR_consensed_contig_104633,-0.398240229257,4.30297634513,-3.80009049805,0.00248487805861,0.0128019052247,-2.19115393924
TDU_consensed_contig_18455|TPR_consensed_contig_102029,-0.348447480674,8.40799965758,-3.7523549555,0.00271187663762,0.0136766462435,-2.62142960062
TDU_consensed_contig_37416|TPR_consensed_contig_100705,-0.295963367972,7.1640444144,-3.81190862022,0.00243175196204,0.0126150241098,-2.47556294181
TDU_consensed_contig_16281|TPR_consensed_contig_80763,-0.408132644131,8.12887553729,-6.09848240205,5.11659811693e-05,0.000684935634465,1.50402383252
TDU_consensed_contig_13459|TPR_consensed_contig_102382,0.8539813998,2.16409808149,4.33241368292,0.000951902132058,0.00619958339794,-0.780915946458
TDU_consensed_contig_36358|TPR_consensed_contig_107828,-1.63368006369,5.09425288805,-5.92860861917,6.65164849709e-05,0.00081514827657,1.46717232009
TDU_consensed_contig_39271|TPR_consensed_contig_39468,-0.391351333939,6.81323796156,-4.45893741693,0.000761357120346,0.00520235063984,-1.26302412252
TDU_consensed_contig_34002|TPR_consensed_contig_97173,-1.25676518097,4.32040157125,-11.6016984182,6.3490033965e-08,4.05178223046e-06,8.72893405808
TDU_consensed_contig_36046|TPR_consensed_contig_90907,-0.396471214222,4.51581447205,-4.19342234931,0.00121930242979,0.00744550823538,-1.49519828834
TDU_consensed_contig_12906|TPR_consensed_contig_111831,-0.838751773459,3.2513155546,-4.14428189035,0.00133154255582,0.0079664872134,-1.39117875797
TDU_consensed_contig_74846|TPR_consensed_contig_101048,-0.486556582374,4.1512013498,-3.55529679233,0.00389791251917,0.018085102118,-2.62262467603
TDU_consensed_contig_67301|TPR_consensed_contig_25490,0.318242314035,6.34404373674,3.53694426863,0.00403244243381,0.0185818316875,-2.91970998694
TDU_consensed_contig_33773|TPR_consensed_contig_54997,-0.287959687207,6.50695161306,-3.32520811557,0.00597298340362,0.0246777315176,-3.34514591268
TDU_consensed_contig_13781|TPR_consensed_contig_81576,-0.520847565797,2.3902408578,-3.14746182419,0.00831866144507,0.0318766834151,-3.03532780584
TDU_consensed_contig_33848|TPR_consensed_contig_39507,0.950229472335,4.14594459549,5.28727095088,0.00018575673504,0.0017566389473,0.585889423799
TDU_consensed_contig_39540|TPR_consensed_contig_61705,0.297670571253,8.78338186872,3.29494544549,0.00631908278442,0.0257302299412,-3.48067247194
