logFC	AveExpr	t	P.Value	adj.P.Val	B
TDU_consensed_contig_33037|TPR_consensed_contig_81949	2.1163990299319	1.55704669540095	13.5246508190341	1.11990860809061e-08	1.43481220281508e-08	10.2196318409766
TDU_consensed_contig_56983|TPR_consensed_contig_60177	0.803074225965462	0.863269543785117	4.2100845303948	0.00118350720300373	0.00128466491109102	-1.73512221247365
TDU_consensed_contig_9144|TPR_consensed_contig_102246	4.46397902514374	4.44814300154882	54.1681733771427	7.75650222245706e-16	1.85319585710553e-15	26.8675503455226
TDU_consensed_contig_46040|TPR_consensed_contig_110150	4.95325382950949	4.46821537261472	56.8858524730556	4.29374028350096e-16	1.07153425127113e-15	27.4773220931354
TDU_consensed_contig_59264|TPR_consensed_contig_54179	2.60824998972688	2.60966706989808	16.1400233610714	1.45888682769043e-09	1.94806219773322e-09	12.296362859158
TDU_consensed_contig_39174|TPR_consensed_contig_10735	5.13423088777522	5.18984989397748	61.3342505790925	1.72843863040746e-16	4.63735240157179e-16	28.3593892504273
TDU_consensed_contig_12631|TPR_consensed_contig_74997	6.47844969565795	6.41965253642724	93.5235752810648	1.0488117062441e-18	6.01599343315936e-18	33.1642720943301
TDU_consensed_contig_39700|TPR_consensed_contig_81005	5.21563073924572	4.64940430482524	47.5262374355412	3.76238369794397e-15	8.05759970093657e-15	25.3618327596102
TDU_consensed_contig_16718|TPR_consensed_contig_75075	6.56552260375633	6.53773529707659	77.9462941439582	9.51860504248408e-18	3.64197908620234e-17	31.1922349433367
TDU_consensed_contig_77592|TPR_consensed_contig_54144	3.10484488735597	2.99962883550067	26.0985426891298	5.03067149599591e-12	7.86763297061837e-12	18.1393711902027
TDU_consensed_contig_10134|TPR_consensed_contig_101033	7.86596440887714	6.96147473678985	84.9833350674884	3.34357636863514e-18	1.52894409249846e-17	32.2212286775644
TDU_consensed_contig_38575|TPR_consensed_contig_100441	3.64904928050594	3.56606612492147	34.4388771843637	1.8185098260019e-13	3.21807101577281e-13	21.4869477581707
TDU_consensed_contig_80414|TPR_consensed_contig_115537	2.31847717516047	0.73398677034584	11.2314169447011	9.11972443180064e-08	1.12221493826681e-07	7.97145977609035
TDU_consensed_contig_59336|TPR_consensed_contig_53892	4.44243444101948	4.46319427921852	49.4203773698089	2.34779206246675e-15	5.16097184962091e-15	25.8028564550033
TDU_consensed_contig_11937|TPR_consensed_contig_108118	2.44490286214618	2.4706725940769	23.4975604103432	1.75569710674931e-11	2.64122439469017e-11	16.9008472226
TDU_consensed_contig_36480|TPR_consensed_contig_65471	2.37227937586368	2.20222654839784	17.0003538750063	7.967601913788e-10	1.07969092707274e-09	12.9601916333171
TDU_consensed_contig_83481|TPR_consensed_contig_101707	2.08070292514639	1.99112995689543	13.872293152225	8.3769475620828e-09	1.0788690653545e-08	10.5303201381908
TDU_consensed_contig_61194|TPR_consensed_contig_49475	5.19487684857738	5.09836914514419	59.2250956597432	2.6384257567171e-16	6.85849169117358e-16	27.961758916209
TDU_consensed_contig_25948|TPR_consensed_contig_49220	2.7823126412953	2.80813946641085	17.8955473146674	4.37257589287003e-10	6.02178713150817e-10	13.5381380700679
TDU_consensed_contig_67502|TPR_consensed_contig_9828	4.46375062621184	3.91610437603618	49.9880005022411	2.04549404813648e-15	4.54569165712677e-15	25.9377922489451
TDU_consensed_contig_17573|TPR_consensed_contig_98911	12.8371334166938	12.9952117942494	204.263835677987	8.12584173784507e-23	2.57369383879672e-19	39.9425809617479
TDU_consensed_contig_19476|TPR_consensed_contig_76021	5.12585159529305	5.13187815744903	63.5920746217053	1.11647071707361e-16	3.12433214730995e-16	28.7702737165266
TDU_consensed_contig_12596|TPR_consensed_contig_99783	3.53262487603045	3.69258096933598	32.4719798767455	3.68376164293023e-13	6.34620193392411e-13	20.7787382891787
TDU_consensed_contig_23505|TPR_consensed_contig_77150	9.03832153941618	9.25710102626194	103.398475872601	3.11004578781899e-19	2.45393737239497e-18	34.3583568941588
TDU_consensed_contig_33980|TPR_consensed_contig_92772	4.17724201755924	4.25837989748903	39.0261381777651	4.04348603082025e-14	7.6632896441414e-14	22.9894346203157
TDU_consensed_contig_16120|TPR_consensed_contig_98525	4.47049494634409	4.5248944487534	59.0644819591293	2.72645513408031e-16	7.07010995285277e-16	27.8504524791807
TDU_consensed_contig_75078|TPR_consensed_contig_99332	6.77458501783502	6.87930175682278	101.585980798647	3.85290285423801e-19	2.87889582194058e-18	34.0613683702836
TDU_consensed_contig_69777|TPR_consensed_contig_82258	7.16868702965903	6.91853695376544	114.428691401267	9.11049943238284e-20	1.11110862668736e-18	35.3082616951293
TDU_consensed_contig_74833|TPR_consensed_contig_105358	3.94163396487205	3.94512542404443	38.8473904032065	4.27317633615645e-14	8.07748142380394e-14	22.9338446974033
TDU_consensed_contig_43649|TPR_consensed_contig_60306	4.40053282408704	4.35724058475768	50.6625833193355	1.73990995219564e-15	3.90853803075695e-15	26.0889752178187
TDU_consensed_contig_27976|TPR_consensed_contig_98013	6.73133701236755	6.73757292365343	113.024689928328	1.05801734104518e-19	1.22274509790267e-18	35.121636008257
TDU_consensed_contig_33098|TPR_consensed_contig_59899	9.17230929568686	9.0875934334218	117.334604481691	6.72360215638543e-20	9.20707032130134e-19	35.6447935999211
TDU_consensed_contig_12745|TPR_consensed_contig_77970	4.30379903881122	4.04342147712085	26.7599468434601	3.73193642339881e-12	5.9076378920792e-12	18.3460329810495
TDU_consensed_contig_45825|TPR_consensed_contig_61733	7.52822396933706	7.52310632369411	121.536177283424	4.39027192781241e-20	7.30296545106763e-19	35.9333201911497
TDU_consensed_contig_40482|TPR_consensed_contig_106942	2.59672876752087	2.48306708393342	23.609020025497	1.65968883963272e-11	2.50421749527929e-11	16.9492798658551
