FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_33037|TPR_consensed_contig_81949,16,2,329,0,16,2,87,0,10,0
TDU_consensed_contig_56983|TPR_consensed_contig_60177,36,0,1,3282,2,0,2,3502,5,0
TDU_consensed_contig_75722|TPR_consensed_contig_60147,0,0,7,3082,3,2,0,2032,0,0
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0,0,111,0,0,0,18,0,0,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,173,20,2,0,197,2,6,0,60,5
TDU_consensed_contig_46040|TPR_consensed_contig_110150,324,57,1,1,28,0,5,0,12,2
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0,0,0,22,0,0,0,41,0,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0,0,85,23,0,0,15,29,0,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,6,0,397,0,0,0,133,4,1,0
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0,0,0,288,0,0,0,159,0,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,2,0,1579,0,0,0,535,0,1,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,109,0,1372,0,66,0,265,0,42,0
TDU_consensed_contig_39174|TPR_consensed_contig_10735,376,38,13,0,259,8,10,1,45,12
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,1047,139,16,1,494,3,20,2,234,15
TDU_consensed_contig_39700|TPR_consensed_contig_81005,75,1,5,0,182,4,8,3,66,7
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0,0,0,1,0,0,0,6,0,0
TDU_consensed_contig_16718|TPR_consensed_contig_75075,1121,184,18,9,680,4,24,76,240,24
TDU_consensed_contig_77592|TPR_consensed_contig_54144,79,5,2,456,36,0,10,444,13,1
TDU_consensed_contig_10134|TPR_consensed_contig_101033,313,337,3674,0,629,20,1047,15,377,159
TDU_consensed_contig_38575|TPR_consensed_contig_100441,141,5,451,6,89,0,122,1,31,5
TDU_consensed_contig_80414|TPR_consensed_contig_115537,7,0,0,0,8,0,4,0,2,1
TDU_consensed_contig_39328|TPR_consensed_contig_37809,2,0,12601,0,2,0,3016,0,2,0
TDU_consensed_contig_104638|TPR_consensed_contig_26056,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_59336|TPR_consensed_contig_53892,226,30,0,0,77,0,2,1,42,1
TDU_consensed_contig_11937|TPR_consensed_contig_108118,38,3,366,0,77,1,126,4,18,2
