FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_48752|TPO_consensed_contig_106427,77,11,36,1,0,20,25,1,3,13
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,136,0,0,0,32,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,1048,258,7,1,349,127,11,1,66,142
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,375,79,0,2,3,150,0,4,3,81
TDU_consensed_contig_36157|TPO_consensed_contig_32174,280,26,0,53,4,183,0,14,4,49
TDU_consensed_contig_35369|TPO_consensed_contig_85862,308,57,5,0,1,74,28,1,1,30
TDU_consensed_contig_33692|TPO_consensed_contig_46821,296,35,0,1,4,149,2,34,7,73
TDU_consensed_contig_69335|TPO_consensed_contig_9777,144,15,0,2622,1,76,5,600,6,66
TDU_consensed_contig_27762|TPO_consensed_contig_116132,1021,93,3187,5,32,590,1676,15,16,296
TDU_consensed_contig_45813|TPO_consensed_contig_12048,0,0,362,0,1,0,310,0,1,0
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,9,62,0,1,73,13,0,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,67,8,0,989,0,30,1,272,0,7
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,7,0,0,0,3,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,4,1,0,0,0,38,1,2,3,4
TDU_consensed_contig_59592|TPO_consensed_contig_32672,73,8,0,4,6,197,1,1,14,50
TDU_consensed_contig_80707|TPO_consensed_contig_12642,3047,306,3,32,19,1717,6,45,37,628
TDU_consensed_contig_68449|TPO_consensed_contig_91407,237,19,608,6,5,238,1005,18,16,43
TDU_consensed_contig_68151|TPO_consensed_contig_33765,1503,189,0,1398,19,501,0,298,30,205
TDU_consensed_contig_60664|TPO_consensed_contig_28309,29,3,2,14,0,10,0,1,1,4
TDU_consensed_contig_56748|TPO_consensed_contig_9392,40,0,1833,0,7,65,2735,6,13,30
TDU_consensed_contig_11053|TPO_consensed_contig_39553,5538,1039,3,68,65,4297,14,125,129,1717
TDU_consensed_contig_4745|TPO_consensed_contig_27969,89,6,0,53,3,42,0,24,2,19
TDU_consensed_contig_37494|TPO_consensed_contig_37012,2370,457,1,20,27,1124,3,42,59,429
TDU_consensed_contig_39883|TPO_consensed_contig_26319,32,14,1112,0,1,5,568,0,1,9
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0,0,0,115,0,0,0,29,0,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0,0,98,20,0,0,62,5,0,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,1737,154,1,52,33,3071,9,101,71,883
TDU_consensed_contig_46251|TPO_consensed_contig_32522,96,6,0,0,1,141,1,3,3,35
TDU_consensed_contig_34448|TPO_consensed_contig_43120,45,4,0,5,0,37,0,2,2,5
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,722,29,5,948,12,684,113,320,14,293
TDU_consensed_contig_16521|TPO_consensed_contig_16031,36,2,0,12,0,18,0,10,0,3
TDU_consensed_contig_8604|TPO_consensed_contig_16601,302,64,0,0,1,38,0,0,1,18
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,785,81,1,545,9,416,2,143,14,114
TDU_consensed_contig_35746|TPO_consensed_contig_13623,39,4,0,2,2,39,1,4,1,0
TDU_consensed_contig_16676|TPO_consensed_contig_13149,97,16,0,3,1,83,18,3,3,37
TDU_consensed_contig_104154|TPO_consensed_contig_24645,0,0,0,6359,0,0,2,1618,0,0
TDU_consensed_contig_86271|TPO_consensed_contig_59209,2,0,0,59,1,30,11,16,4,7
TDU_consensed_contig_28098|TPO_consensed_contig_32709,197,30,0,5,6,231,4,33,15,97
TDU_consensed_contig_40286|TPO_consensed_contig_17932,180,33,0,0,1,4,0,5,2,8
TDU_consensed_contig_67353|TPO_consensed_contig_71040,0,0,144,112,0,0,92,20,0,0
