FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_33037|TPR_consensed_contig_81949,49,4,234,0,0,21,281,0,0,10
TDU_consensed_contig_56983|TPR_consensed_contig_60177,22,1,0,2438,0,1,2,473,0,4
TDU_consensed_contig_75722|TPR_consensed_contig_60147,0,0,0,2988,0,17,2,658,0,4
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0,0,89,0,0,0,9,0,0,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,181,16,0,0,1,209,0,4,2,55
TDU_consensed_contig_46040|TPR_consensed_contig_110150,284,50,0,0,1,26,0,0,1,6
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0,0,0,32,0,0,0,12,0,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0,0,45,31,0,0,20,12,0,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,4,0,36,1,1,2,342,0,0,0
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0,0,0,322,0,0,0,54,0,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,0,0,1299,0,0,0,638,0,0,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,55,2,215,0,0,32,822,2,1,21
TDU_consensed_contig_39174|TPR_consensed_contig_10735,552,63,4,4,17,262,6,2,18,129
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,978,130,2,9,4,533,2,14,11,199
TDU_consensed_contig_39700|TPR_consensed_contig_81005,129,5,0,5,3,368,0,7,5,66
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0,0,0,3,0,0,0,0,0,1
TDU_consensed_contig_16718|TPR_consensed_contig_75075,963,111,0,83,5,567,1,33,11,196
TDU_consensed_contig_77592|TPR_consensed_contig_54144,103,13,0,1073,0,42,5,258,1,29
TDU_consensed_contig_10134|TPR_consensed_contig_101033,531,39,1862,36,2,1179,4182,45,13,287
TDU_consensed_contig_38575|TPR_consensed_contig_100441,170,11,208,2,1,70,255,3,1,21
TDU_consensed_contig_80414|TPR_consensed_contig_115537,3,0,0,0,2,7,3,1,0,1
TDU_consensed_contig_39328|TPR_consensed_contig_37809,0,0,7597,0,0,0,7394,0,0,0
TDU_consensed_contig_104638|TPR_consensed_contig_26056,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_59336|TPR_consensed_contig_53892,451,62,0,0,2,162,0,2,1,64
TDU_consensed_contig_11937|TPR_consensed_contig_108118,46,7,278,1,0,54,1393,1,1,15
TDU_consensed_contig_36480|TPR_consensed_contig_65471,61,7,629,0,1,8,685,0,1,9
TDU_consensed_contig_48564|TPR_consensed_contig_94608,2,1,0,1,4,1,1,3,2,3
TDU_consensed_contig_83481|TPR_consensed_contig_101707,36,1,0,573,0,32,0,142,2,14
TDU_consensed_contig_61194|TPR_consensed_contig_49475,503,99,195,0,2,140,207,6,2,48
TDU_consensed_contig_23275|TPR_consensed_contig_36446,0,0,11,0,0,0,14,0,0,0
TDU_consensed_contig_25948|TPR_consensed_contig_49220,152,10,0,246,0,65,0,58,1,31
TDU_consensed_contig_67502|TPR_consensed_contig_9828,115,6,0,1368,0,76,0,347,2,19
TDU_consensed_contig_17573|TPR_consensed_contig_98911,131060,23397,31,154,71,10775,93,270,600,5897
TDU_consensed_contig_41911|TPR_consensed_contig_86736,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_99695|TPR_consensed_contig_53770,0,0,0,683,0,0,0,159,0,0
TDU_consensed_contig_19476|TPR_consensed_contig_76021,453,69,450,2,4,220,263,4,9,84
TDU_consensed_contig_68432|TPR_consensed_contig_68223,0,0,15,862,0,0,37,237,0,0
TDU_consensed_contig_12596|TPR_consensed_contig_99783,118,24,0,2,0,40,0,1,2,28
TDU_consensed_contig_87914|TPR_consensed_contig_15507,0,0,0,34,0,0,0,7,0,0
TDU_consensed_contig_23505|TPR_consensed_contig_77150,6790,906,4,118,30,5248,11,256,175,3091
TDU_consensed_contig_33980|TPR_consensed_contig_92772,220,30,1,10,0,166,0,5,1,70
TDU_consensed_contig_16120|TPR_consensed_contig_98525,226,20,0,2,2,187,3,4,4,54
TDU_consensed_contig_75078|TPR_consensed_contig_99332,1513,198,0,420,2,1238,2,136,19,315
TDU_consensed_contig_69777|TPR_consensed_contig_82258,1332,206,2,2,9,290,3,11,38,235
TDU_consensed_contig_74833|TPR_consensed_contig_105358,163,23,739,5,0,165,541,8,5,36
TDU_consensed_contig_43649|TPR_consensed_contig_60306,176,11,0,16,1,179,1,9,3,75
TDU_consensed_contig_27976|TPR_consensed_contig_98013,1713,162,4088,1,1,327,825,2,11,215
TDU_consensed_contig_33098|TPR_consensed_contig_59899,3126,655,9,108,47,2957,18,99,70,1439
TDU_consensed_contig_12745|TPR_consensed_contig_77970,109,18,1,4,0,214,3,10,10,65
TDU_consensed_contig_45825|TPR_consensed_contig_61733,2020,252,1,59,8,1410,5,47,13,494
TDU_consensed_contig_66436|TPR_consensed_contig_105601,0,0,0,584,0,0,0,131,0,0
TDU_consensed_contig_40482|TPR_consensed_contig_106942,66,7,364,9,0,35,555,4,0,11
TDU_consensed_contig_41963|TPR_consensed_contig_109425,150,32,0,0,0,14,0,0,0,6
TDU_consensed_contig_19573|TPR_consensed_contig_18202,678,77,0,282,3,280,0,84,4,160
TDU_consensed_contig_33332|TPR_consensed_contig_92493,327,68,0,2,2,56,0,1,6,63
TDU_consensed_contig_41680|TPR_consensed_contig_17074,4,1,115,0,0,31,269,1,0,11
TDU_consensed_contig_12636|TPR_consensed_contig_74015,3,0,1523,0,0,0,694,0,0,0
TDU_consensed_contig_21950|TPR_consensed_contig_19832,1,1,7,77,0,9,3,14,0,5
TDU_consensed_contig_33741|TPR_consensed_contig_92566,1322,183,0,17,4,895,0,20,18,342
TDU_consensed_contig_61486|TPR_consensed_contig_11851,8,0,0,0,0,11,1,0,0,1
TDU_consensed_contig_38105|TPR_consensed_contig_86114,484,50,4,7,42,312,33,9,57,158
TDU_consensed_contig_20940|TPR_consensed_contig_21265,0,0,53,0,0,15,28,0,1,2
TDU_consensed_contig_69660|TPR_consensed_contig_105344,931,200,1554,1,2,228,1039,7,6,102
TDU_consensed_contig_57023|TPR_consensed_contig_36284,0,0,42,0,0,0,45,0,0,0
TDU_consensed_contig_75341|TPR_consensed_contig_55429,0,0,0,10,0,0,0,2,0,0
TDU_consensed_contig_6165|TPR_consensed_contig_74589,0,0,770,1778,0,0,500,610,0,0
TDU_consensed_contig_63721|TPR_consensed_contig_15160,484,92,5,0,1,124,8,22,10,49
TDU_consensed_contig_4784|TPR_consensed_contig_100829,811,142,0,15,5,187,5,7,13,97
TDU_consensed_contig_37031|TPR_consensed_contig_55762,11,0,345,151,0,10,753,27,0,3
TDU_consensed_contig_19150|TPR_consensed_contig_101665,0,0,0,30,0,0,0,6,0,0
TDU_consensed_contig_20714|TPR_consensed_contig_9740,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_39314|TPR_consensed_contig_13802,5209,913,4,21,26,1078,6,21,47,508
TDU_consensed_contig_21959|TPR_consensed_contig_54355,15,0,4,0,0,73,14,4,1,18
TDU_consensed_contig_84708|TPR_consensed_contig_102141,0,0,95,2,0,0,114,0,0,0
TDU_consensed_contig_40793|TPR_consensed_contig_75282,769,91,0,47,1,320,8,12,5,98
TDU_consensed_contig_9342|TPR_consensed_contig_104092,0,0,0,0,0,0,0,1,0,0
TDU_consensed_contig_13271|TPR_consensed_contig_101541,35,2,1,1,0,31,1,2,1,4
TDU_consensed_contig_32973|TPR_consensed_contig_100500,585,120,0,1,1,66,2,3,1,58
TDU_consensed_contig_32521|TPR_consensed_contig_77966,106,10,0,2,0,48,0,2,5,19
TDU_consensed_contig_8801|TPR_consensed_contig_49029,21,0,0,732,0,3,0,140,0,1
TDU_consensed_contig_26134|TPR_consensed_contig_11877,102,16,0,10,0,28,1,12,0,15
TDU_consensed_contig_4906|TPR_consensed_contig_82072,636,129,0,14460,0,0,0,2868,3,1
TDU_consensed_contig_37322|TPR_consensed_contig_81832,12,1,6,20,0,11,4,7,0,3
TDU_consensed_contig_38803|TPR_consensed_contig_75599,0,0,21,0,0,0,10,0,0,0
TDU_consensed_contig_20693|TPR_consensed_contig_101866,1816,306,2,8,6,598,0,22,24,365
TDU_consensed_contig_48191|TPR_consensed_contig_111673,40,4,0,0,2,6,0,2,1,4
TDU_consensed_contig_33852|TPR_consensed_contig_104633,227,26,2,1,6,132,47,2,11,61
TDU_consensed_contig_99603|TPR_consensed_contig_120777,430,60,0,285,4,1181,1,123,13,424
TDU_consensed_contig_82249|TPR_consensed_contig_54226,3,0,5,12,1,105,33,9,2,19
TDU_consensed_contig_77275|TPR_consensed_contig_104542,77,19,5,0,0,0,2,0,0,1
TDU_consensed_contig_70924|TPR_consensed_contig_71052,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_18455|TPR_consensed_contig_102029,2760,258,9,28,71,1665,17,45,68,794
TDU_consensed_contig_32871|TPR_consensed_contig_100160,963,108,2,18,5,468,0,27,18,284
TDU_consensed_contig_75901|TPR_consensed_contig_67233,29,7,0,0,0,3,0,0,0,3
TDU_consensed_contig_17809|TPR_consensed_contig_16737,253,46,285,0,0,0,465,0,1,1
TDU_consensed_contig_39094|TPR_consensed_contig_102881,306,157,0,6,9,206,1,7,16,84
TDU_consensed_contig_33242|TPR_consensed_contig_80911,983,157,4,3,0,255,1,6,4,99
TDU_consensed_contig_37756|TPR_consensed_contig_107372,13,0,3,0,0,9,1,0,0,1
TDU_consensed_contig_100824|TPR_consensed_contig_13723,207,23,0,602,26,63,43,166,5,50
TDU_consensed_contig_22232|TPR_consensed_contig_66358,1,0,0,2,0,21,0,0,0,5
TDU_consensed_contig_79884|TPR_consensed_contig_97853,0,0,0,303,0,4,0,96,0,1
TDU_consensed_contig_40575|TPR_consensed_contig_21195,0,0,516,0,0,0,319,0,0,0
TDU_consensed_contig_101335|TPR_consensed_contig_72984,0,0,33,0,0,0,23,0,0,0
TDU_consensed_contig_48858|TPR_consensed_contig_111268,50,10,0,8,0,11,1,4,2,10
TDU_consensed_contig_41377|TPR_consensed_contig_97800,242,12,0,8,2,166,6,21,6,80
TDU_consensed_contig_20892|TPR_consensed_contig_20477,65,7,24,7,1,69,10,1,2,18
TDU_consensed_contig_88760|TPR_consensed_contig_26734,24,3,0,86,0,0,0,23,0,0
TDU_consensed_contig_16201|TPR_consensed_contig_77840,2963,419,15,9,14,795,41,21,30,350
TDU_consensed_contig_18301|TPR_consensed_contig_75437,0,0,0,727,0,0,0,213,0,0
TDU_consensed_contig_65044|TPR_consensed_contig_70208,3359,644,11118,0,1,7,10877,2,7,15
TDU_consensed_contig_41970|TPR_consensed_contig_17625,25,10,8,178,0,3,1,80,0,4
TDU_consensed_contig_16362|TPR_consensed_contig_99285,1769,120,3,60,9,1828,5,64,29,627
TDU_consensed_contig_68858|TPR_consensed_contig_6094,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_76118|TPR_consensed_contig_71500,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_32847|TPR_consensed_contig_80830,4191,410,7,140,57,6279,16,152,133,1868
TDU_consensed_contig_8568|TPR_consensed_contig_102629,170,27,0,2,1,74,0,2,1,44
TDU_consensed_contig_16234|TPR_consensed_contig_99176,0,0,0,4,0,16,0,9,0,2
TDU_consensed_contig_38252|TPR_consensed_contig_53961,215,61,4,0,2,0,0,0,0,1
TDU_consensed_contig_39373|TPR_consensed_contig_54304,1,0,40,500,0,0,13,122,0,0
TDU_consensed_contig_32812|TPR_consensed_contig_60233,21,1,428,0,0,16,284,0,0,3
TDU_consensed_contig_71436|TPR_consensed_contig_32984,0,0,0,15,0,0,0,0,0,0
TDU_consensed_contig_33553|TPR_consensed_contig_99034,232,31,223,2,3,175,166,5,1,46
TDU_consensed_contig_42821|TPR_consensed_contig_105102,4397,492,8,566,16,2252,112,186,34,779
TDU_consensed_contig_16292|TPR_consensed_contig_89943,0,0,220,0,0,0,51,0,0,0
TDU_consensed_contig_100664|TPR_consensed_contig_98142,0,0,0,8,0,0,1,0,0,0
TDU_consensed_contig_12529|TPR_consensed_contig_80517,39,10,731,0,0,1,705,0,0,2
TDU_consensed_contig_4908|TPR_consensed_contig_100964,0,0,12,0,0,11,50,3,0,6
TDU_consensed_contig_74671|TPR_consensed_contig_53368,153,23,0,0,0,36,0,1,0,19
TDU_consensed_contig_37416|TPR_consensed_contig_100705,1229,143,2,23,1,940,2,32,18,285
TDU_consensed_contig_33536|TPR_consensed_contig_60073,1250,136,1810,2,3,358,4180,19,7,133
TDU_consensed_contig_80515|TPR_consensed_contig_61818,53,10,112,0,0,5,38,1,1,4
TDU_consensed_contig_89082|TPR_consensed_contig_23422,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_20711|TPR_consensed_contig_32805,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_67282|TPR_consensed_contig_13429,0,0,10,0,0,0,16,0,0,0
TDU_consensed_contig_40657|TPR_consensed_contig_100410,518,89,0,0,1,86,0,1,2,41
TDU_consensed_contig_61543|TPR_consensed_contig_60726,38,1,0,603,0,8,0,85,1,4
TDU_consensed_contig_58951|TPR_consensed_contig_111931,9,3,1,0,0,12,2,0,1,7
TDU_consensed_contig_16281|TPR_consensed_contig_80763,3365,555,0,12,3,667,4,11,31,354
TDU_consensed_contig_104787|TPR_consensed_contig_10516,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_99863|TPR_consensed_contig_65282,42,1,0,2664,1,187,0,595,1,54
TDU_consensed_contig_13459|TPR_consensed_contig_102382,178,11,0,14,1,56,0,7,2,29
TDU_consensed_contig_38798|TPR_consensed_contig_60152,326,23,0,433,0,197,0,123,2,73
TDU_consensed_contig_89442|TPR_consensed_contig_92516,661,90,0,7,2,211,129,6,10,87
TDU_consensed_contig_56709|TPR_consensed_contig_60660,41,7,0,4,0,2,0,3,1,3
TDU_consensed_contig_35823|TPR_consensed_contig_78032,471,117,0,0,0,0,0,0,0,0
TDU_consensed_contig_35657|TPR_consensed_contig_80816,5565,1063,3,658,7,685,2,1157,21,125
TDU_consensed_contig_31943|TPR_consensed_contig_109641,3,0,0,2,0,4,0,2,0,1
TDU_consensed_contig_39518|TPR_consensed_contig_100706,1143,89,3,11,3,586,1,16,12,235
TDU_consensed_contig_32666|TPR_consensed_contig_67197,80,6,303,0,0,16,645,0,2,21
TDU_consensed_contig_7198|TPR_consensed_contig_105939,0,0,0,31,0,0,0,5,0,0
TDU_consensed_contig_37729|TPR_consensed_contig_12642,99,5,221,37,2,124,174,14,2,37
TDU_consensed_contig_10443|TPR_consensed_contig_15605,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_40309|TPR_consensed_contig_107830,0,0,2746,0,0,0,1679,0,0,0
TDU_consensed_contig_17693|TPR_consensed_contig_7689,48,7,0,75,0,0,0,67,1,2
TDU_consensed_contig_68413|TPR_consensed_contig_106568,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_85730|TPR_consensed_contig_36648,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_33263|TPR_consensed_contig_82564,49,4,785,0,0,5,493,0,1,4
TDU_consensed_contig_19304|TPR_consensed_contig_104743,33,8,1378,0,1,0,898,0,2,0
TDU_consensed_contig_71673|TPR_consensed_contig_98210,2,0,28,0,0,0,44,0,0,1
TDU_consensed_contig_82142|TPR_consensed_contig_74828,12,3,0,43,0,0,0,5,0,0
TDU_consensed_contig_16036|TPR_consensed_contig_110066,81,7,0,6,1,102,0,4,2,32
TDU_consensed_contig_36358|TPR_consensed_contig_107828,878,77,0,43,7,689,0,26,17,262
TDU_consensed_contig_8838|TPR_consensed_contig_6910,18,1,0,1239,0,22,0,292,2,7
TDU_consensed_contig_74902|TPR_consensed_contig_90010,0,0,16,3,0,1,35,1,0,3
TDU_consensed_contig_4856|TPR_consensed_contig_19797,0,0,3,0,0,0,3,0,0,0
TDU_consensed_contig_37151|TPR_consensed_contig_53984,0,0,40,0,0,0,44,0,0,0
TDU_consensed_contig_89269|TPR_consensed_contig_76554,0,0,0,10,0,0,0,1,0,0
TDU_consensed_contig_91338|TPR_consensed_contig_5164,0,0,0,0,0,0,1,0,0,0
TDU_consensed_contig_39271|TPR_consensed_contig_39468,1400,140,1,23,14,614,5,31,38,331
TDU_consensed_contig_33548|TPR_consensed_contig_52538,162,25,2,0,1,115,9,7,3,48
