FUSION_ID,Tdu_1,Tdu_2,Tdu_3,Tpo_1,Tpo_2,Tpo_3
TDU_consensed_contig_48752|TPO_consensed_contig_106427,41,32,26,139,166,124
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,0,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,1915,1653,1626,2001,2197,1990
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,882,492,954,785,1004,691
TDU_consensed_contig_36157|TPO_consensed_contig_32174,380,450,379,530,523,546
TDU_consensed_contig_35369|TPO_consensed_contig_85862,454,448,365,446,408,471
TDU_consensed_contig_33692|TPO_consensed_contig_46821,383,486,320,664,670,564
TDU_consensed_contig_69335|TPO_consensed_contig_9777,626,354,497,321,377,308
TDU_consensed_contig_27762|TPO_consensed_contig_116132,1601,1670,1221,1628,2065,2048
TDU_consensed_contig_45813|TPO_consensed_contig_12048,2,5,2,1,9,2
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,0,0,0,1
TDU_consensed_contig_59196|TPO_consensed_contig_84448,18,48,10,97,41,112
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,0,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,52,86,57,37,40,50
TDU_consensed_contig_59592|TPO_consensed_contig_32672,707,690,444,358,412,348
TDU_consensed_contig_80707|TPO_consensed_contig_12642,6827,8268,6293,4980,4829,5754
TDU_consensed_contig_68449|TPO_consensed_contig_91407,417,524,494,579,744,558
TDU_consensed_contig_68151|TPO_consensed_contig_33765,4876,3485,3549,2176,3124,2447
TDU_consensed_contig_60664|TPO_consensed_contig_28309,24,9,35,53,50,47
TDU_consensed_contig_56748|TPO_consensed_contig_9392,340,331,312,161,288,155
TDU_consensed_contig_11053|TPO_consensed_contig_39553,13639,14069,9644,12755,12959,12785
TDU_consensed_contig_4745|TPO_consensed_contig_27969,177,142,127,162,165,161
TDU_consensed_contig_37494|TPO_consensed_contig_37012,8385,8987,6172,4250,4125,4466
TDU_consensed_contig_39883|TPO_consensed_contig_26319,128,152,122,70,90,62
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0,0,0,0,0,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0,0,0,0,0,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,7476,7711,5669,5671,6516,5949
TDU_consensed_contig_46251|TPO_consensed_contig_32522,280,317,270,268,239,282
TDU_consensed_contig_34448|TPO_consensed_contig_43120,50,42,34,87,74,93
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0,0,0,0,0,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,883,926,1148,1689,2182,1754
TDU_consensed_contig_16521|TPO_consensed_contig_16031,16,11,24,48,54,59
TDU_consensed_contig_8604|TPO_consensed_contig_16601,585,638,505,385,452,424
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0,0,0,0,0,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,2657,2689,2241,1241,1338,1419
