FUSION_ID,Tdu_1,Tdu_2,Tdu_3,Tpr_1,Tpr_2,Tpr_3
TDU_consensed_contig_33037|TPR_consensed_contig_81949,45,46,23,54,84,56
TDU_consensed_contig_56983|TPR_consensed_contig_60177,57,43,38,32,28,29
TDU_consensed_contig_75722|TPR_consensed_contig_60147,4,5,4,7,21,15
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0,0,0,0,0,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,433,457,425,345,464,490
TDU_consensed_contig_46040|TPR_consensed_contig_110150,378,423,450,294,368,348
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0,0,0,0,0,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0,0,0,0,0,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,6,7,6,10,7,7
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0,0,0,0,0,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0,0,0,0,0,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,2,3,0,0,0,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,135,217,154,92,111,70
TDU_consensed_contig_39174|TPR_consensed_contig_10735,658,738,626,615,1041,864
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0,0,0,0,0,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,1627,1932,1429,1500,1855,1767
TDU_consensed_contig_39700|TPR_consensed_contig_81005,372,335,362,433,576,433
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0,0,0,0,1,0
TDU_consensed_contig_16718|TPR_consensed_contig_75075,2306,2253,1976,1206,1853,1681
TDU_consensed_contig_77592|TPR_consensed_contig_54144,138,134,112,174,188,193
TDU_consensed_contig_10134|TPR_consensed_contig_101033,1607,1835,1288,1956,2051,2376
TDU_consensed_contig_38575|TPR_consensed_contig_100441,264,271,236,149,274,212
TDU_consensed_contig_80414|TPR_consensed_contig_115537,35,18,21,11,13,22
TDU_consensed_contig_39328|TPR_consensed_contig_37809,5,6,8,2,0,6
TDU_consensed_contig_104638|TPR_consensed_contig_26056,0,0,0,0,0,0
TDU_consensed_contig_59336|TPR_consensed_contig_53892,341,376,300,466,742,572
TDU_consensed_contig_11937|TPR_consensed_contig_108118,117,139,105,85,123,106
TDU_consensed_contig_36480|TPR_consensed_contig_65471,68,107,100,82,87,79
TDU_consensed_contig_48564|TPR_consensed_contig_94608,17,27,23,8,13,19
TDU_consensed_contig_83481|TPR_consensed_contig_101707,75,82,47,86,85,95
TDU_consensed_contig_61194|TPR_consensed_contig_49475,653,860,575,514,794,636
TDU_consensed_contig_23275|TPR_consensed_contig_36446,0,0,0,0,0,0
TDU_consensed_contig_25948|TPR_consensed_contig_49220,114,128,112,116,259,157
TDU_consensed_contig_67502|TPR_consensed_contig_9828,297,284,243,240,218,222
TDU_consensed_contig_17573|TPR_consensed_contig_98911,214112,213310,165113,133650,171800,150997
TDU_consensed_contig_41911|TPR_consensed_contig_86736,0,0,0,0,0,0
TDU_consensed_contig_99695|TPR_consensed_contig_53770,0,0,0,0,0,0
TDU_consensed_contig_19476|TPR_consensed_contig_76021,778,794,627,533,839,689
TDU_consensed_contig_68432|TPR_consensed_contig_68223,0,0,0,0,0,0
TDU_consensed_contig_12596|TPR_consensed_contig_99783,390,405,296,197,212,211
TDU_consensed_contig_87914|TPR_consensed_contig_15507,0,0,0,0,0,0
TDU_consensed_contig_23505|TPR_consensed_contig_77150,15514,14707,13060,9151,16240,11866
TDU_consensed_contig_33980|TPR_consensed_contig_92772,466,428,368,262,487,393
TDU_consensed_contig_16120|TPR_consensed_contig_98525,492,546,466,370,493,462
TDU_consensed_contig_75078|TPR_consensed_contig_99332,2247,2502,1900,2274,3285,2635
TDU_consensed_contig_69777|TPR_consensed_contig_82258,2626,3113,2592,1399,2110,1890
TDU_consensed_contig_74833|TPR_consensed_contig_105358,270,293,245,250,392,446
TDU_consensed_contig_43649|TPR_consensed_contig_60306,419,450,398,311,445,413
TDU_consensed_contig_27976|TPR_consensed_contig_98013,2131,2422,1865,1800,2429,2255
TDU_consensed_contig_33098|TPR_consensed_contig_59899,16486,13980,12024,6467,8294,9293
TDU_consensed_contig_12745|TPR_consensed_contig_77970,308,381,323,174,416,271
TDU_consensed_contig_45825|TPR_consensed_contig_61733,3774,3649,2886,3271,4197,4461
TDU_consensed_contig_66436|TPR_consensed_contig_105601,0,0,0,0,0,0
TDU_consensed_contig_40482|TPR_consensed_contig_106942,115,111,94,83,119,126
TDU_consensed_contig_41963|TPR_consensed_contig_109425,148,139,134,167,202,143
TDU_consensed_contig_19573|TPR_consensed_contig_18202,772,852,665,706,1202,932
TDU_consensed_contig_33332|TPR_consensed_contig_92493,631,414,447,442,522,500
TDU_consensed_contig_41680|TPR_consensed_contig_17074,57,67,70,29,47,41
TDU_consensed_contig_12636|TPR_consensed_contig_74015,4,7,4,1,3,3
TDU_consensed_contig_21950|TPR_consensed_contig_19832,11,12,15,11,16,14
TDU_consensed_contig_33741|TPR_consensed_contig_92566,2977,2752,2160,1730,2764,2204
TDU_consensed_contig_61486|TPR_consensed_contig_11851,18,14,14,11,20,19
TDU_consensed_contig_38105|TPR_consensed_contig_86114,1965,1705,1269,916,1103,1020
TDU_consensed_contig_20940|TPR_consensed_contig_21265,3,0,0,5,18,17
TDU_consensed_contig_69660|TPR_consensed_contig_105344,1162,1094,956,1064,1469,1290
TDU_consensed_contig_57023|TPR_consensed_contig_36284,0,0,0,0,0,0
TDU_consensed_contig_75341|TPR_consensed_contig_55429,0,0,0,0,0,0
TDU_consensed_contig_6165|TPR_consensed_contig_74589,0,0,0,1,0,1
TDU_consensed_contig_63721|TPR_consensed_contig_15160,757,785,531,475,760,645
TDU_consensed_contig_4784|TPR_consensed_contig_100829,1954,1887,1622,981,1255,1259
TDU_consensed_contig_37031|TPR_consensed_contig_55762,61,50,44,36,24,38
TDU_consensed_contig_19150|TPR_consensed_contig_101665,0,0,0,0,0,0
TDU_consensed_contig_20714|TPR_consensed_contig_9740,0,0,0,0,0,0
TDU_consensed_contig_39314|TPR_consensed_contig_13802,9243,10438,7685,4967,7781,7101
TDU_consensed_contig_21959|TPR_consensed_contig_54355,520,545,367,70,107,99
TDU_consensed_contig_84708|TPR_consensed_contig_102141,0,0,0,0,0,0
TDU_consensed_contig_40793|TPR_consensed_contig_75282,1271,1264,1108,788,1284,1055
TDU_consensed_contig_9342|TPR_consensed_contig_104092,0,0,0,0,0,0
TDU_consensed_contig_13271|TPR_consensed_contig_101541,70,56,54,19,73,47
TDU_consensed_contig_32973|TPR_consensed_contig_100500,669,532,434,699,831,852
TDU_consensed_contig_32521|TPR_consensed_contig_77966,105,130,114,173,188,155
TDU_consensed_contig_8801|TPR_consensed_contig_49029,21,12,9,13,25,10
TDU_consensed_contig_26134|TPR_consensed_contig_11877,368,368,401,108,161,187
TDU_consensed_contig_4906|TPR_consensed_contig_82072,841,725,576,643,769,753
TDU_consensed_contig_37322|TPR_consensed_contig_81832,6,18,12,39,27,34
TDU_consensed_contig_38803|TPR_consensed_contig_75599,0,0,0,0,0,0
TDU_consensed_contig_20693|TPR_consensed_contig_101866,6422,6065,4342,1431,3115,2690
TDU_consensed_contig_48191|TPR_consensed_contig_111673,28,51,40,31,57,41
TDU_consensed_contig_33852|TPR_consensed_contig_104633,346,313,298,351,463,411
TDU_consensed_contig_99603|TPR_consensed_contig_120777,1707,1913,1436,1559,2112,2090
TDU_consensed_contig_82249|TPR_consensed_contig_54226,125,220,135,146,130,122
TDU_consensed_contig_77275|TPR_consensed_contig_104542,93,93,46,54,97,35
TDU_consensed_contig_70924|TPR_consensed_contig_71052,0,0,0,0,0,0
TDU_consensed_contig_18455|TPR_consensed_contig_102029,8904,7176,6294,4718,5616,5649
TDU_consensed_contig_32871|TPR_consensed_contig_100160,1661,1591,1473,1338,1846,1552
TDU_consensed_contig_75901|TPR_consensed_contig_67233,22,18,27,22,42,22
TDU_consensed_contig_17809|TPR_consensed_contig_16737,420,436,304,266,301,254
TDU_consensed_contig_39094|TPR_consensed_contig_102881,598,641,525,551,778,771
TDU_consensed_contig_33242|TPR_consensed_contig_80911,1420,1573,1146,985,1498,1404
TDU_consensed_contig_37756|TPR_consensed_contig_107372,30,38,32,32,23,57
TDU_consensed_contig_100824|TPR_consensed_contig_13723,647,706,474,210,374,252
TDU_consensed_contig_22232|TPR_consensed_contig_66358,17,49,24,10,27,21
TDU_consensed_contig_79884|TPR_consensed_contig_97853,27,15,9,18,5,19
TDU_consensed_contig_40575|TPR_consensed_contig_21195,0,0,0,0,0,0
TDU_consensed_contig_101335|TPR_consensed_contig_72984,0,0,0,0,0,0
TDU_consensed_contig_48858|TPR_consensed_contig_111268,36,43,38,56,83,64
TDU_consensed_contig_41377|TPR_consensed_contig_97800,703,674,683,358,508,425
TDU_consensed_contig_20892|TPR_consensed_contig_20477,143,140,104,100,162,128
TDU_consensed_contig_88760|TPR_consensed_contig_26734,23,22,14,21,27,28
TDU_consensed_contig_16201|TPR_consensed_contig_77840,3725,3774,3299,2934,4571,3663
TDU_consensed_contig_18301|TPR_consensed_contig_75437,0,0,0,0,0,0
TDU_consensed_contig_65044|TPR_consensed_contig_70208,2269,2451,1921,3185,4033,3470
TDU_consensed_contig_41970|TPR_consensed_contig_17625,91,86,70,13,42,22
TDU_consensed_contig_16362|TPR_consensed_contig_99285,6146,6361,4574,3086,4382,3680
TDU_consensed_contig_68858|TPR_consensed_contig_6094,0,0,0,0,0,0
TDU_consensed_contig_76118|TPR_consensed_contig_71500,0,0,0,0,0,0
TDU_consensed_contig_32847|TPR_consensed_contig_80830,19839,18797,14569,10519,12938,12006
TDU_consensed_contig_8568|TPR_consensed_contig_102629,373,325,301,267,317,241
TDU_consensed_contig_16234|TPR_consensed_contig_99176,15,13,12,8,18,10
TDU_consensed_contig_38252|TPR_consensed_contig_53961,428,414,392,211,279,347
TDU_consensed_contig_39373|TPR_consensed_contig_54304,6,3,3,0,1,3
TDU_consensed_contig_32812|TPR_consensed_contig_60233,9,27,14,28,41,22
TDU_consensed_contig_71436|TPR_consensed_contig_32984,0,0,0,0,0,0
TDU_consensed_contig_33553|TPR_consensed_contig_99034,210,245,229,375,488,490
TDU_consensed_contig_42821|TPR_consensed_contig_105102,6218,5809,5498,5423,7970,6660
TDU_consensed_contig_16292|TPR_consensed_contig_89943,0,0,0,0,0,0
TDU_consensed_contig_100664|TPR_consensed_contig_98142,0,0,0,0,0,0
TDU_consensed_contig_12529|TPR_consensed_contig_80517,81,65,45,40,52,39
TDU_consensed_contig_4908|TPR_consensed_contig_100964,18,16,8,19,17,13
TDU_consensed_contig_74671|TPR_consensed_contig_53368,204,195,139,178,231,202
